"picture src","balance-text","layout 2","layout 3"
"https://www.moma.org/media/W1siZiIsIjU0MDYxNiJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=166ea145b175cf42","","Marina Adams",""
"https://www.moma.org/media/W1siZiIsIjU0MDgzMCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=77d1dfd7916b80d8","","Marina Adams",""
"https://www.moma.org/media/W1siZiIsIjU0MDgzOCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=a36aa9aaadb9e6f3","","Marina Adams",""
"https://www.moma.org/media/W1siZiIsIjU0MDQ2NCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=048b0d68059712b7","","Marina Adams",""
"https://www.moma.org/media/W1siZiIsIjU0MDQ2NiJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=8eb6434aa3d0aa02","","Marina Adams",""
"https://www.moma.org/media/W1siZiIsIjU0MDQ2NyJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=a960cf7cf25f82e5","","Marina Adams",""
"https://www.moma.org/media/W1siZiIsIjU0MDQ2OCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=a3a277f37f67c6d2","","Marina Adams",""
"https://www.moma.org/media/W1siZiIsIjU0MDQ2OSJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=b5d33634d06444ff","","Marina Adams",""
"https://www.moma.org/media/W1siZiIsIjU0MDQ3MCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=d69653c7d12575c8","","Marina Adams",""
"https://www.moma.org/media/W1siZiIsIjU0MDQ3MSJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=f05738738c93303f","","Marina Adams",""
"https://www.moma.org/media/W1siZiIsIjU0MDUwNSJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=b673491796a687cb","","Marina Adams",""
"https://www.moma.org/media/W1siZiIsIjU0MDQ3MiJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=d4ec4663630a8f88","","Marina Adams",""
